title,year,runtime,director,cast,description,url
쇼생크 탈출,1994,2h 22m,Frank Darabont,"Frank Darabont, Stephen King, Frank Darabont, Tim Robbins, Morgan Freeman","A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1
Daeboo,1972,2h 55m,Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo, Francis Ford Coppola, Marlon Brando, Al Pacino",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2
다크 나이트,2008,2h 32m,Christopher Nolan,"Christopher Nolan, Jonathan Nolan, Christopher Nolan, David S. Goyer, Christian Bale","When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3
The Godfather Part II,1974,3h 22m,Francis Ford Coppola,"Francis Ford Coppola, Francis Ford Coppola, Mario Puzo, Al Pacino, Robert De Niro","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4
12명의 성난 사람들,1957,1h 36m,Sidney Lumet,"Sidney Lumet, Reginald Rose, Henry Fonda, Lee J. Cobb, Martin Balsam",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5
반지의 제왕: 왕의 귀환,2003,3h 21m,Peter Jackson,"Peter Jackson, J.R.R. Tolkien, Fran Walsh, Philippa Boyens, Elijah Wood",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_6
쉰들러 리스트,1993,3h 15m,Steven Spielberg,"Steven Spielberg, Thomas Keneally, Steven Zaillian, Liam Neeson, Ralph Fiennes","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",https://www.imdb.com/title/tt0108052/?ref_=chttp_t_7
펄프 픽션,1994,2h 34m,Quentin Tarantino,"Quentin Tarantino, Quentin Tarantino, Roger Avary, John Travolta, Uma Thurman","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8
반지의 제왕: 반지 원정대,2001,2h 58m,Peter Jackson,"Peter Jackson, J.R.R. Tolkien, Fran Walsh, Philippa Boyens, Elijah Wood",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9
석양의 무법자,1966,2h 41m,Sergio Leone,"Sergio Leone, Luciano Vincenzoni, Sergio Leone, Agenore Incrocci, Clint Eastwood",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10
